"","X","a","b","height","total_seg","hit.vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"127",127,0.08,0.05,5,15,"9 / 15",3,3,518.65625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"128",128,0.08,0.06,5,15,"9 / 15",3,3,518.65625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"129",129,0.08,0.07,5,15,"9 / 15",3,3,518.65625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"130",130,0.08,0.08,5,15,"9 / 15",3,3,518.65625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"131",131,0.08,0.09,5,15,"9 / 15",3,3,518.65625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"132",132,0.08,0.1,5,15,"9 / 15",3,3,518.65625,0.6,0.2,0.2,"0.6 @ 0.3",0.1,"chm_1_3"
"133",133,0.09,0.05,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"134",134,0.09,0.06,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"135",135,0.09,0.07,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"136",136,0.09,0.08,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"137",137,0.09,0.09,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"138",138,0.09,0.1,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"139",139,0.1,0.05,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"140",140,0.1,0.06,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"141",141,0.1,0.07,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"142",142,0.1,0.08,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"143",143,0.1,0.09,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"144",144,0.1,0.1,5,13,"9 / 15",3,1,518.6875,0.6,0.230769230769231,0.0769230769230769,"0.6 @ 0.27",0.1,"chm_1_3"
"145",145,0.05,0.05,5.5,44,"13 / 15",1,30,510.296875,0.866666666666667,0.0227272727272727,0.681818181818182,"0.87 @ 0.36",0.1,"chm_1_3"
"146",146,0.05,0.06,5.5,43,"13 / 15",1,29,510.296875,0.866666666666667,0.0232558139534884,0.674418604651163,"0.87 @ 0.36",0.1,"chm_1_3"
"147",147,0.05,0.07,5.5,40,"13 / 15",1,26,510.3125,0.866666666666667,0.025,0.65,"0.87 @ 0.35",0.1,"chm_1_3"
"148",148,0.05,0.08,5.5,39,"13 / 15",1,25,510.3125,0.866666666666667,0.0256410256410256,0.641025641025641,"0.87 @ 0.35",0.1,"chm_1_3"
