"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"522",0.03,0.02,6,127,"13 / 15",1,113,497.71875,0.866666666666667,0.0078740157480315,0.889763779527559,"0.87 @ 0.45",0.1,"CHM_1_3"
"523",0.03,0.03,6,121,"13 / 15",1,107,497.984375,0.866666666666667,0.00826446280991736,0.884297520661157,"0.87 @ 0.45",0.1,"CHM_1_3"
"524",0.03,0.04,6,116,"13 / 15",1,102,497.90625,0.866666666666667,0.00862068965517241,0.879310344827586,"0.87 @ 0.45",0.1,"CHM_1_3"
"525",0.03,0.05,6,111,"13 / 15",1,97,497.921875,0.866666666666667,0.00900900900900901,0.873873873873874,"0.87 @ 0.45",0.1,"CHM_1_3"
"526",0.03,0.06,6,102,"13 / 15",1,88,497.96875,0.866666666666667,0.00980392156862745,0.862745098039216,"0.87 @ 0.44",0.1,"CHM_1_3"
"527",0.03,0.07,6,98,"13 / 15",1,84,498.03125,0.866666666666667,0.0102040816326531,0.857142857142857,"0.87 @ 0.44",0.1,"CHM_1_3"
"528",0.03,0.08,6,93,"13 / 15",1,79,498.109375,0.866666666666667,0.010752688172043,0.849462365591398,"0.87 @ 0.44",0.1,"CHM_1_3"
"529",0.03,0.09,6,91,"13 / 15",1,77,498.109375,0.866666666666667,0.010989010989011,0.846153846153846,"0.87 @ 0.43",0.1,"CHM_1_3"
"530",0.03,0.1,6,89,"13 / 15",1,75,498.1875,0.866666666666667,0.0112359550561798,0.842696629213483,"0.87 @ 0.43",0.1,"CHM_1_3"
"531",0.04,0.01,6,64,"13 / 15",1,50,498.546875,0.866666666666667,0.015625,0.78125,"0.87 @ 0.41",0.1,"CHM_1_3"
"532",0.04,0.02,6,63,"13 / 15",1,49,498.53125,0.866666666666667,0.0158730158730159,0.777777777777778,"0.87 @ 0.4",0.1,"CHM_1_3"
"533",0.04,0.03,6,62,"13 / 15",1,48,498.65625,0.866666666666667,0.0161290322580645,0.774193548387097,"0.87 @ 0.4",0.1,"CHM_1_3"
