"","a","b","height","total_seg","hit/vp","under","over","area","hitrate","underrate","overrate","Seg_qualy","MIN","chm"
"62",0.03,0.02,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"63",0.03,0.03,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"64",0.03,0.04,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"65",0.03,0.05,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"66",0.04,0.01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"67",0.04,0.02,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"68",0.04,0.03,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"69",0.04,0.04,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"70",0.04,0.05,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"71",0.05,0.01,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"72",0.05,0.02,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"73",0.05,0.03,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"74",0.05,0.04,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"75",0.05,0.05,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"CHM_4_3"
"76",0.01,0.01,5,444,"12 / 12",0,432,345,1,0,0.972972972972973,"1 @ 0.49",0.1,"CHM_4_3"
"77",0.01,0.02,5,430,"12 / 12",0,418,345.109375,1,0,0.972093023255814,"1 @ 0.49",0.1,"CHM_4_3"
"78",0.01,0.03,5,414,"12 / 12",0,402,345.171875,1,0,0.971014492753623,"1 @ 0.49",0.1,"CHM_4_3"
"79",0.01,0.04,5,392,"12 / 12",0,380,344.921875,1,0,0.969387755102041,"1 @ 0.48",0.1,"CHM_4_3"
"80",0.01,0.05,5,385,"12 / 12",0,373,344.859375,1,0,0.968831168831169,"1 @ 0.48",0.1,"CHM_4_3"
"81",0.02,0.01,5,211,"12 / 12",0,199,344.953125,1,0,0.943127962085308,"1 @ 0.47",0.1,"CHM_4_3"
"82",0.02,0.02,5,206,"12 / 12",0,194,344.953125,1,0,0.941747572815534,"1 @ 0.47",0.1,"CHM_4_3"
"83",0.02,0.03,5,196,"12 / 12",0,184,345.109375,1,0,0.938775510204082,"1 @ 0.47",0.1,"CHM_4_3"
"84",0.02,0.04,5,184,"12 / 12",0,172,345.34375,1,0,0.934782608695652,"1 @ 0.47",0.1,"CHM_4_3"
